Date,up,down,sum,ma150_changes
2022-06-10,624,2860,-2236,-301.73333333333335
2022-06-13,368,3235,-2867,-322.68666666666667
2022-06-14,1552,1985,-433,-327.35333333333335
2022-06-15,2576,924,1652,-311.82666666666665
2022-06-16,543,2973,-2430,-318.46666666666664
2022-06-17,2428,1077,1351,-312.8333333333333
2022-06-21,2487,1039,1448,-304.5466666666667
2022-06-22,1720,1748,-28,-301.46
2022-06-23,2251,1225,1026,-292.5133333333333
2022-06-24,2329,1116,1213,-275.05333333333334
2022-06-27,1746,1731,15,-265.74
2022-06-28,866,2612,-1746,-271.34
2022-06-29,1197,2216,-1019,-271.42
2022-06-30,1443,2090,-647,-272.02
2022-07-01,2122,1280,842,-271.78
2022-07-05,2150,1368,782,-252.15333333333334
2022-07-06,1430,2038,-608,-251.26
2022-07-07,2679,777,1902,-228.98
2022-07-08,1872,1505,367,-214.37333333333333
2022-07-11,821,2641,-1820,-234.06
2022-07-12,1588,1821,-233,-221.72
2022-07-13,1666,1722,-56,-229.14666666666668
2022-07-14,1058,2356,-1298,-250.87333333333333
2022-07-15,2434,988,1446,-248.94
2022-07-18,1653,1787,-134,-236.68
2022-07-19,2770,679,2091,-217.84
2022-07-20,2504,933,1571,-197.02
2022-07-21,2022,1385,637,-183.08
2022-07-22,850,2628,-1778,-202.19333333333333
2022-07-25,1638,1816,-178,-194.90666666666667
2022-07-26,1269,2181,-912,-204.86666666666667
2022-07-27,2617,800,1817,-182.68666666666667
2022-07-28,2077,1363,714,-190.48
2022-07-29,1953,1489,464,-192.72
2022-08-01,1718,1790,-72,-202.4
2022-08-02,1912,1549,363,-199.79333333333332
2022-08-03,2575,944,1631,-181.23333333333332
2022-08-04,2005,1426,579,-173.25333333333333
2022-08-05,2000,1460,540,-174.32666666666665
2022-08-08,2176,1327,849,-166.41333333333333
2022-08-09,995,2507,-1512,-186.76
2022-08-10,2734,742,1992,-168.78666666666666
2022-08-11,1925,1565,360,-152.05333333333334
2022-08-12,2563,900,1663,-140.46
2022-08-15,2034,1435,599,-132.69333333333333
2022-08-16,1539,1926,-387,-128.56
2022-08-17,820,2650,-1830,-149.54666666666665
2022-08-18,1833,1614,219,-143.19333333333333
2022-08-19,718,2743,-2025,-147.48
2022-08-22,731,2724,-1993,-160.34666666666666
2022-08-23,1740,1727,13,-144.86666666666667
2022-08-24,2185,1305,880,-130.36
2022-08-25,2369,1104,1265,-111.87333333333333
2022-08-26,517,2956,-2439,-113.08666666666667
2022-08-29,1057,2392,-1335,-123.86
2022-08-30,992,2473,-1481,-129.30666666666667
2022-08-31,1484,1949,-465,-123.86666666666666
2022-09-01,1197,2284,-1087,-116.75333333333333
2022-09-02,1242,2209,-967,-132.50666666666666
2022-09-06,1126,2352,-1226,-157.96666666666667
